Time_s,rpm,speed_kph,throttle_pos,engine_load,coolant_temp_C,coolant_pressure_PSI,intake_air_temp_C
0,650.0,0.0,0.0,5.0,72.0,12.29,29.2
1,650.0,0.57,0.0,6.84,72.01,12.32,29.22
2,650.0,1.12,0.0,6.97,72.02,12.4,29.28
3,650.0,1.89,0.46,7.96,72.02,12.29,29.31
4,650.0,2.35,1.6,5.36,72.04,12.35,29.19
5,650.0,2.83,3.24,6.81,72.05,12.33,29.06
6,650.0,3.4,5.52,8.84,72.04,12.32,29.17
7,650.0,3.99,5.9,9.07,72.02,12.41,29.22
8,650.0,5.15,6.12,12.77,72.04,12.49,29.15
9,650.0,5.73,6.0,9.13,72.06,12.32,29.11
10,704.0,6.44,5.49,9.28,72.05,12.43,29.11
11,719.33,6.81,6.0,8.53,72.02,12.49,29.03
12,801.36,7.48,5.86,10.63,72.04,12.53,29.04
13,862.44,8.14,6.56,11.5,72.05,12.5,29.04
14,931.3,8.66,5.97,10.37,72.05,12.58,28.97
15,954.66,9.84,6.16,14.99,72.0,12.54,28.82
16,1003.92,11.01,7.06,16.35,72.02,12.63,28.7
17,1054.37,11.94,7.32,15.48,72.02,12.68,28.64
18,1118.03,13.02,6.21,16.48,72.01,12.76,28.67
19,1184.72,13.88,6.64,16.25,72.0,12.76,28.6
20,1270.09,14.9,6.51,18.09,72.01,12.85,28.66
21,1333.74,15.39,7.71,16.27,72.02,12.85,28.64
22,1383.81,16.62,9.01,21.54,72.03,12.89,28.74
23,1488.35,16.94,7.13,15.97,72.04,13.01,28.72
24,1543.7,18.38,8.49,23.54,72.03,12.99,28.65
25,1589.57,19.51,9.25,22.77,72.02,13.04,28.65
26,1618.42,20.47,8.37,21.06,72.04,13.04,28.57
27,1691.59,21.38,9.45,21.77,72.05,13.1,28.64
28,1776.62,22.43,8.79,24.34,72.09,13.26,28.58
29,1820.11,23.07,9.93,22.51,72.1,13.19,28.69
30,1900.22,23.84,9.62,22.47,72.09,13.32,28.74
31,1969.16,24.97,8.83,24.29,72.07,13.27,28.82
32,1917.88,26.07,11.04,25.07,72.09,13.18,28.72
33,1927.71,27.22,10.13,24.48,72.09,13.28,28.64
34,1923.92,28.17,9.83,22.37,72.11,13.3,28.7
35,1907.47,28.88,9.6,19.71,72.11,13.36,28.85
36,1939.44,29.67,9.58,20.24,72.12,13.4,28.99
37,1970.53,30.25,10.39,20.7,72.12,13.25,28.97
38,1959.48,30.86,10.62,20.43,72.13,13.33,29.1
39,1982.34,31.44,11.59,21.37,72.16,13.3,29.09
40,2005.17,32.22,12.07,22.68,72.16,13.32,29.21
41,2023.43,32.94,10.84,21.57,72.18,13.34,29.14
