timestamp,frame_id,product_id,variant,sensor_source,sensor_name,rpm,torque_nm,air_temp_c,process_temp_c,temp_diff_c,tool_wear_min,frequency_hz,decibels,is_anomaly,failure_type
2026-09-07T12:00:00Z,1,M14860,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1551.0,42.8,24.95,35.45,10.5,0,310.2,62.8,0,normal
2026-09-07T12:00:01Z,2,L47181,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1408.0,46.3,25.05,35.55,10.5,3,288.8,62.7,0,normal
2026-09-07T12:00:02Z,3,L47182,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1498.0,49.4,24.95,35.35,10.4,5,312.2,63.2,0,normal
2026-09-07T12:00:03Z,4,L47183,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1433.0,39.5,25.05,35.45,10.4,7,301.6,61.6,0,normal
2026-09-07T12:00:04Z,5,L47184,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1408.0,40.0,25.05,35.55,10.5,9,295.2,61.3,0,normal
2026-09-07T12:00:05Z,6,M14865,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1425.0,41.9,24.95,35.45,10.5,11,294.0,61.2,0,normal
2026-09-07T12:00:06Z,7,L47186,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1558.0,42.4,24.95,35.45,10.5,14,313.7,61.3,0,normal
2026-09-07T12:00:07Z,8,L47187,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1527.0,40.2,24.95,35.45,10.5,16,300.1,60.6,0,normal
2026-09-07T12:00:08Z,9,M14868,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1667.0,28.6,25.15,35.55,10.4,18,322.0,59.3,0,normal
2026-09-07T12:00:09Z,10,M14869,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1741.0,28.0,25.35,35.85,10.5,21,333.5,59.2,0,normal
2026-09-07T12:00:10Z,11,H29424,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1782.0,23.9,25.25,35.75,10.5,24,342.0,58.8,0,normal
2026-09-07T12:00:11Z,12,H29425,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1423.0,44.3,25.45,35.95,10.5,29,274.0,60.2,0,normal
2026-09-07T12:00:12Z,13,M14872,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1339.0,51.1,25.45,35.95,10.5,34,263.6,60.9,0,normal
2026-09-07T12:00:13Z,14,M14873,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1742.0,30.0,25.45,36.05,10.6,37,351.6,59.7,0,normal
2026-09-07T12:00:14Z,15,L47194,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,2035.0,19.6,25.45,36.05,10.6,40,416.9,59.6,0,normal
2026-09-07T12:00:15Z,16,L47195,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1542.0,48.4,25.45,36.05,10.6,42,322.5,62.0,0,normal
2026-09-07T12:00:16Z,17,M14876,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1311.0,46.6,25.45,36.05,10.6,44,277.0,61.4,0,normal
2026-09-07T12:00:17Z,18,M14877,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1410.0,45.6,25.55,36.05,10.5,47,294.0,62.0,0,normal
2026-09-07T12:00:18Z,19,H29432,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1306.0,54.5,25.65,36.05,10.4,50,267.4,63.0,0,normal
2026-09-07T12:00:19Z,20,M14879,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1632.0,32.5,25.75,36.15,10.4,55,325.3,61.6,0,normal
2026-09-07T12:00:20Z,21,H29434,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1375.0,42.7,25.75,36.15,10.4,58,266.8,62.2,0,normal
2026-09-07T12:00:21Z,22,L47201,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1450.0,44.8,25.65,36.15,10.5,63,276.8,62.7,0,normal
2026-09-07T12:00:22Z,23,M14882,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1581.0,30.7,25.75,36.15,10.4,65,301.2,61.3,0,normal
2026-09-07T12:00:23Z,24,L47203,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1758.0,25.7,25.85,36.25,10.4,68,338.5,61.1,0,normal
2026-09-07T12:00:24Z,25,M14884,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1561.0,37.3,25.85,36.25,10.4,70,304.2,61.7,0,normal
2026-09-07T12:00:25Z,26,L47205,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1861.0,23.3,25.85,36.35,10.5,73,371.2,60.5,0,normal
2026-09-07T12:00:26Z,27,L47206,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1512.0,39.0,25.95,36.35,10.4,75,308.7,61.1,0,normal
2026-09-07T12:00:27Z,28,H29441,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1811.0,24.6,25.95,36.25,10.3,77,374.3,59.8,0,normal
2026-09-07T12:00:28Z,29,L47208,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1439.0,44.2,25.95,36.25,10.3,82,302.7,60.8,0,normal
2026-09-07T12:00:29Z,30,L47209,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1693.0,30.1,25.85,36.25,10.4,84,352.6,59.6,0,normal
2026-09-07T12:00:30Z,31,M14890,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1339.0,48.2,25.95,36.35,10.4,86,277.6,60.5,0,normal
2026-09-07T12:00:31Z,32,L47211,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1798.0,25.5,25.85,36.25,10.4,89,362.7,59.0,0,normal
2026-09-07T12:00:32Z,33,L47212,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1419.0,48.3,25.85,36.25,10.4,91,279.5,60.7,0,normal
2026-09-07T12:00:33Z,34,L47213,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1665.0,32.5,25.75,36.15,10.4,93,322.3,59.6,0,normal
2026-09-07T12:00:34Z,35,M14894,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1559.0,34.7,25.65,35.95,10.3,95,297.4,59.8,0,normal
2026-09-07T12:00:35Z,36,M14895,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1452.0,48.6,25.65,36.05,10.4,98,275.8,61.4,0,normal
2026-09-07T12:00:36Z,37,M14896,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1581.0,36.7,25.75,36.05,10.3,101,304.9,60.7,0,normal
2026-09-07T12:00:37Z,38,L47217,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1439.0,39.2,25.65,35.95,10.3,104,282.7,60.9,0,normal
2026-09-07T12:00:38Z,39,H29452,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1379.0,50.7,25.75,36.05,10.3,106,278.0,62.5,0,normal
2026-09-07T12:00:39Z,40,L47219,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1350.0,52.5,25.65,35.95,10.3,111,279.1,62.9,0,normal
2026-09-07T12:00:40Z,41,L47220,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1362.0,45.4,25.65,35.95,10.3,113,286.1,62.4,0,normal
2026-09-07T12:00:41Z,42,L47221,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1368.0,50.8,25.65,35.95,10.3,115,288.6,63.2,0,normal
2026-09-07T12:00:42Z,43,M14902,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1368.0,49.1,25.65,35.95,10.3,117,286.1,63.0,0,normal
2026-09-07T12:00:43Z,44,H29457,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1372.0,48.5,25.65,36.05,10.4,120,281.5,62.9,0,normal
2026-09-07T12:00:44Z,45,M14904,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1472.0,47.5,25.65,35.95,10.3,125,294.3,62.9,0,normal
2026-09-07T12:00:45Z,46,L47225,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1489.0,49.1,25.65,35.95,10.3,128,290.5,62.9,0,normal
2026-09-07T12:00:46Z,47,M14906,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1843.0,25.8,25.55,35.85,10.3,130,355.9,60.8,0,normal
2026-09-07T12:00:47Z,48,L47227,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1418.0,46.3,25.65,35.95,10.3,133,268.6,61.7,0,normal
2026-09-07T12:00:48Z,49,H29462,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1425.0,53.9,25.65,36.05,10.4,135,271.4,62.2,0,normal
2026-09-07T12:00:49Z,50,M14909,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1412.0,44.1,25.75,36.05,10.3,140,273.5,60.7,0,normal
2026-09-07T12:00:50Z,51,L47230,L,SENSOR_POWER_INVERTER,Inverter DC Bus Current & Voltage Monitor,2861.0,4.6,25.75,35.95,10.2,143,1258.3,69.7,1,power_failure
2026-09-07T12:00:51Z,52,L47231,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1383.0,54.9,25.75,35.95,10.2,145,282.0,61.4,0,normal
2026-09-07T12:00:52Z,53,H29466,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1497.0,43.8,25.65,35.85,10.2,147,310.8,60.3,0,normal
2026-09-07T12:00:53Z,54,L47233,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1565.0,35.1,25.55,35.85,10.3,152,327.7,59.5,0,normal
2026-09-07T12:00:54Z,55,L47234,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1691.0,30.1,25.55,35.85,10.3,154,352.5,59.4,0,normal
2026-09-07T12:00:55Z,56,L47235,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1512.0,40.7,25.65,35.95,10.3,156,312.9,60.4,0,normal
2026-09-07T12:00:56Z,57,L47236,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1477.0,42.4,25.65,35.95,10.3,158,299.5,60.8,0,normal
2026-09-07T12:00:57Z,58,L47237,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1513.0,40.3,25.65,35.95,10.3,160,299.2,60.9,0,normal
2026-09-07T12:00:58Z,59,M14918,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1661.0,29.5,25.65,35.85,10.2,162,322.2,60.4,0,normal
2026-09-07T12:00:59Z,60,L47239,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1378.0,54.4,25.65,35.95,10.3,165,261.5,63.0,0,normal
2026-09-07T12:01:00Z,61,L47240,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1393.0,52.6,25.65,35.95,10.3,167,263.8,63.1,0,normal
2026-09-07T12:01:01Z,62,M14921,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1592.0,38.2,25.65,35.85,10.2,169,306.5,62.2,0,normal
2026-09-07T12:01:02Z,63,L47242,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1829.0,22.9,25.65,35.85,10.2,172,359.7,61.1,0,normal
2026-09-07T12:01:03Z,64,M14923,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1812.0,25.9,25.75,35.85,10.1,174,363.7,61.5,0,normal
2026-09-07T12:01:04Z,65,L47244,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1523.0,38.6,25.85,35.95,10.1,177,312.9,62.1,0,normal
2026-09-07T12:01:05Z,66,L47245,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1394.0,45.1,25.85,35.95,10.1,179,292.1,62.3,0,normal
2026-09-07T12:01:06Z,67,M14926,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1679.0,28.7,25.75,35.75,10.0,181,350.8,60.9,0,normal
2026-09-07T12:01:07Z,68,H29481,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1466.0,44.1,25.65,35.75,10.1,184,306.3,61.9,0,normal
2026-09-07T12:01:08Z,69,L47248,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1527.0,32.4,25.65,35.75,10.1,189,313.3,60.3,0,normal
2026-09-07T12:01:09Z,70,L47249,L,SENSOR_TORQUE_TRANSDUCER,Drivetrain Mechanical Torque Strain Gauge,1410.0,65.7,25.75,35.85,10.1,191,2500.0,77.9,1,overstrain_failure
2026-09-07T12:01:10Z,71,M14930,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1924.0,22.6,25.75,35.85,10.1,193,378.4,59.6,0,normal
2026-09-07T12:01:11Z,72,L47251,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1452.0,45.5,25.75,35.95,10.2,196,278.3,60.7,0,normal
2026-09-07T12:01:12Z,73,L47252,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1369.0,44.4,25.75,35.95,10.2,198,258.9,60.1,0,normal
2026-09-07T12:01:13Z,74,L47253,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1592.0,35.0,25.85,35.95,10.1,200,304.4,59.6,0,normal
2026-09-07T12:01:14Z,75,L47254,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1601.0,32.3,25.75,35.85,10.1,202,310.5,59.3,0,normal
2026-09-07T12:01:15Z,76,L47255,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1379.0,46.7,25.65,35.75,10.1,204,272.8,60.5,0,normal
2026-09-07T12:01:16Z,77,L47256,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1461.0,47.9,25.65,35.75,10.1,206,296.6,61.1,0,normal
2026-09-07T12:01:17Z,78,L47257,L,SENSOR_WEAR_DISPLACEMENT,Contact Interface Linear Displacement Sensor,1455.0,41.3,25.65,35.75,10.1,208,2420.0,74.1,1,tool_wear_failure
2026-09-07T12:01:18Z,79,L47258,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1398.0,51.5,25.65,35.75,10.1,0,294.1,62.0,0,normal
2026-09-07T12:01:19Z,80,L47259,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1402.0,37.9,25.65,35.75,10.1,2,295.0,60.7,0,normal
2026-09-07T12:01:20Z,81,H29494,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1445.0,49.9,25.65,35.65,10.0,4,300.2,62.6,0,normal
2026-09-07T12:01:21Z,82,L47261,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1450.0,47.5,25.75,35.75,10.0,9,295.0,62.7,0,normal
2026-09-07T12:01:22Z,83,L47262,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1453.0,40.8,25.75,35.75,10.0,11,288.2,62.1,0,normal
2026-09-07T12:01:23Z,84,L47263,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1469.0,40.1,25.85,35.85,10.0,13,284.6,62.2,0,normal
2026-09-07T12:01:24Z,85,L47264,L,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1422.0,47.6,25.75,35.75,10.0,15,270.7,63.0,0,normal
2026-09-07T12:01:25Z,86,M14945,M,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1804.0,26.8,25.85,35.85,10.0,17,345.9,61.5,0,normal
2026-09-07T12:01:26Z,87,H29500,H,SENSOR_TELEMETRY_BUS,Standard Multi-Sensor Telemetry Array,1436.0,43.9,25.85,35.85,10.0,20,274.7,62.3,0,normal
