timestamp,frame_id,product_id,variant,sensor_source,sensor_name,component,rpm,torque_nm,air_temp_c,process_temp_c,temp_diff_c,tool_wear_min,frequency_hz,decibels,is_anomaly,failure_type
2026-09-07T08:00:00Z,1,UNIT-0001,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2336.08,36.84,26.64,35.9,9.87,55,456.29,63.61,0,normal
2026-09-07T08:00:01Z,2,UNIT-0002,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1417.33,43.65,26.97,37.49,10.55,127,264.51,60.85,0,normal
2026-09-07T08:00:02Z,3,UNIT-0003,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1665.16,37.72,26.13,35.5,10.04,108,335.84,63.02,0,normal
2026-09-07T08:00:03Z,4,UNIT-0004,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2082.31,48.9,25.31,34.81,9.79,37,392.88,63.54,0,normal
2026-09-07T08:00:04Z,5,UNIT-0005,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1628.3,39.13,25.22,35.9,10.51,194,352.34,62.05,0,normal
2026-09-07T08:00:05Z,6,UNIT-0006,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2084.5,38.96,25.18,36.77,10.65,34,424.6,60.85,0,normal
2026-09-07T08:00:06Z,7,UNIT-0007,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2305.65,43.36,27.25,38.22,10.46,56,446.07,62.39,0,normal
2026-09-07T08:00:07Z,8,UNIT-0008,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1530.97,44.41,24.66,34.48,9.57,48,289.17,60.0,0,normal
2026-09-07T08:00:08Z,9,UNIT-0009,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2122.56,49.3,24.33,34.64,10.58,194,413.77,65.27,0,normal
2026-09-07T08:00:09Z,10,UNIT-0010,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2312.78,40.48,25.64,36.15,9.77,47,476.67,63.5,0,normal
2026-09-07T08:00:10Z,11,UNIT-0011,M,SENSOR_THERMAL_BLOCK,Coolant Loop Temperature Sensor,Thermal Cooling Loop,1216.01,45.23,28.31,42.35,14.04,54,1145.98,74.47,1,heat_dissipation_failure
2026-09-07T08:00:11Z,12,UNIT-0012,M,SENSOR_THERMAL_BLOCK,Coolant Loop Temperature Sensor,Thermal Cooling Loop,1215.96,45.24,28.43,42.54,14.11,54,1145.9,74.31,1,heat_dissipation_failure
2026-09-07T08:00:12Z,13,UNIT-0013,M,SENSOR_THERMAL_BLOCK,Coolant Loop Temperature Sensor,Thermal Cooling Loop,1216.05,45.38,28.28,42.45,14.17,54,1145.85,74.47,1,heat_dissipation_failure
2026-09-07T08:00:13Z,14,UNIT-0014,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1812.36,51.04,27.72,37.85,10.63,71,359.21,61.9,0,normal
2026-09-07T08:00:14Z,15,UNIT-0015,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1375.77,44.14,25.02,35.04,9.83,38,281.91,60.06,0,normal
2026-09-07T08:00:15Z,16,UNIT-0016,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2092.19,37.19,27.48,37.44,10.36,141,406.06,63.41,0,normal
2026-09-07T08:00:16Z,17,UNIT-0017,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1378.12,45.91,27.49,36.57,9.65,123,279.95,62.41,0,normal
2026-09-07T08:00:17Z,18,UNIT-0018,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1372.83,42.04,27.36,37.02,10.33,32,283.42,61.25,0,normal
2026-09-07T08:00:18Z,19,UNIT-0019,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1796.76,50.21,25.45,35.18,9.5,119,352.56,64.56,0,normal
2026-09-07T08:00:19Z,20,UNIT-0020,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1492.65,38.98,25.58,34.78,9.59,158,273.71,60.52,0,normal
2026-09-07T08:00:20Z,21,UNIT-0021,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1504.57,37.31,24.82,35.38,10.79,123,291.22,62.06,0,normal
2026-09-07T08:00:21Z,22,UNIT-0022,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1647.18,40.28,27.11,35.79,9.86,121,319.02,62.06,0,normal
2026-09-07T08:00:22Z,23,UNIT-0023,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1392.69,36.41,25.48,35.32,9.9,109,298.5,62.8,0,normal
2026-09-07T08:00:23Z,24,UNIT-0024,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2278.33,45.5,26.76,36.33,10.33,189,434.41,64.25,0,normal
2026-09-07T08:00:24Z,25,UNIT-0025,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1620.35,39.57,26.75,35.64,9.9,145,314.67,61.68,0,normal
2026-09-07T08:00:25Z,26,UNIT-0026,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1675.29,39.52,25.87,36.87,10.56,163,312.96,59.25,0,normal
2026-09-07T08:00:26Z,27,UNIT-0027,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1504.77,35.8,25.88,37.05,10.9,30,317.0,60.19,0,normal
2026-09-07T08:00:27Z,28,UNIT-0028,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1534.38,50.3,25.64,35.38,9.74,65,330.92,61.76,0,normal
2026-09-07T08:00:28Z,29,UNIT-0029,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1670.89,38.46,26.4,37.11,10.07,29,334.92,59.35,0,normal
2026-09-07T08:00:29Z,30,UNIT-0030,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1530.91,43.25,25.16,34.28,9.6,91,309.24,60.91,0,normal
2026-09-07T08:00:30Z,31,UNIT-0031,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2094.66,52.89,24.91,35.52,9.66,131,400.98,63.82,0,normal
2026-09-07T08:00:31Z,32,UNIT-0032,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1832.32,36.94,27.41,37.83,10.31,191,334.84,62.28,0,normal
2026-09-07T08:00:32Z,33,UNIT-0033,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2113.85,40.65,25.98,35.36,10.1,95,425.12,61.77,0,normal
2026-09-07T08:00:33Z,34,UNIT-0034,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1396.76,40.16,25.1,36.38,10.68,175,294.67,60.0,0,normal
2026-09-07T08:00:34Z,35,UNIT-0035,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1409.68,39.87,26.17,36.22,10.43,43,285.23,61.54,0,normal
2026-09-07T08:00:35Z,36,UNIT-0036,M,SENSOR_VIBRATION_BEARING,Suspension Accelerometer,Rear Left Suspension,1790.57,39.34,25.46,36.17,10.71,84,2963.14,79.57,1,bearing_rumble
2026-09-07T08:00:36Z,37,UNIT-0037,M,SENSOR_VIBRATION_BEARING,Suspension Accelerometer,Rear Left Suspension,1790.45,39.46,25.38,36.19,10.81,84,2963.02,79.56,1,bearing_rumble
2026-09-07T08:00:37Z,38,UNIT-0038,M,SENSOR_VIBRATION_BEARING,Suspension Accelerometer,Rear Left Suspension,1790.44,39.52,25.48,36.05,10.57,84,2963.17,79.57,1,bearing_rumble
2026-09-07T08:00:38Z,39,UNIT-0039,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1800.34,47.61,27.52,38.46,10.39,133,373.38,63.34,0,normal
2026-09-07T08:00:39Z,40,UNIT-0040,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1646.03,48.64,26.73,36.69,9.92,153,342.35,60.66,0,normal
2026-09-07T08:00:40Z,41,UNIT-0041,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1517.93,38.66,26.94,36.98,10.56,36,308.71,61.68,0,normal
2026-09-07T08:00:41Z,42,UNIT-0042,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1393.84,50.88,27.16,36.92,10.07,21,304.69,62.14,0,normal
2026-09-07T08:00:42Z,43,UNIT-0043,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1514.18,42.93,25.29,35.02,10.23,119,301.04,60.92,0,normal
2026-09-07T08:00:43Z,44,UNIT-0044,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1767.62,45.14,26.18,35.86,9.63,129,354.42,62.2,0,normal
2026-09-07T08:00:44Z,45,UNIT-0045,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1780.14,39.0,25.2,33.64,9.53,158,326.06,62.66,0,normal
2026-09-07T08:00:45Z,46,UNIT-0046,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1411.17,46.68,24.88,35.58,10.21,49,289.61,59.76,0,normal
2026-09-07T08:00:46Z,47,UNIT-0047,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1512.42,52.8,24.52,34.49,9.54,99,317.15,63.04,0,normal
2026-09-07T08:00:47Z,48,UNIT-0048,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2257.78,48.45,27.23,36.81,10.4,50,478.76,63.34,0,normal
2026-09-07T08:00:48Z,49,UNIT-0049,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1775.02,48.2,24.84,35.97,10.94,182,380.05,63.96,0,normal
2026-09-07T08:00:49Z,50,UNIT-0050,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1770.24,44.43,26.7,37.31,10.39,102,378.23,62.99,0,normal
2026-09-07T08:00:50Z,51,UNIT-0051,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1421.3,44.44,25.25,35.01,10.23,110,304.98,59.79,0,normal
2026-09-07T08:00:51Z,52,UNIT-0052,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2326.95,41.47,25.87,36.3,9.86,141,456.77,63.81,0,normal
2026-09-07T08:00:52Z,53,UNIT-0053,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1783.51,44.19,25.14,36.08,10.99,160,339.76,63.19,0,normal
2026-09-07T08:00:53Z,54,UNIT-0054,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2280.04,38.03,24.84,34.99,10.23,170,463.74,62.07,0,normal
2026-09-07T08:00:54Z,55,UNIT-0055,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2130.95,38.0,25.0,34.32,9.58,94,426.59,61.25,0,normal
2026-09-07T08:00:55Z,56,UNIT-0056,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1494.1,51.85,24.81,35.54,10.79,49,318.89,61.71,0,normal
2026-09-07T08:00:56Z,57,UNIT-0057,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1516.99,37.76,27.18,37.93,10.41,178,287.3,61.3,0,normal
2026-09-07T08:00:57Z,58,UNIT-0058,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2071.19,50.36,24.38,34.74,10.64,180,406.38,64.84,0,normal
2026-09-07T08:00:58Z,59,UNIT-0059,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1634.46,37.16,25.46,35.72,9.92,136,303.35,59.37,0,normal
2026-09-07T08:00:59Z,60,UNIT-0060,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1525.78,47.26,27.68,37.87,10.74,38,285.5,62.31,0,normal
2026-09-07T08:01:00Z,61,UNIT-0061,M,SENSOR_TORQUE_TRANSDUCER,Drivetrain Torque Sensor,Transmission / Drivetrain,1647.48,63.9,25.98,36.91,10.93,129,2581.08,77.35,1,overstrain_failure
2026-09-07T08:01:01Z,62,UNIT-0062,M,SENSOR_TORQUE_TRANSDUCER,Drivetrain Torque Sensor,Transmission / Drivetrain,1647.52,63.86,25.92,36.96,11.04,129,2581.02,77.2,1,overstrain_failure
2026-09-07T08:01:02Z,63,UNIT-0063,M,SENSOR_TORQUE_TRANSDUCER,Drivetrain Torque Sensor,Transmission / Drivetrain,1647.55,64.01,25.99,36.98,10.99,129,2581.0,77.29,1,overstrain_failure
2026-09-07T08:01:03Z,64,UNIT-0064,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1643.95,38.49,25.84,36.21,10.45,145,345.72,61.29,0,normal
2026-09-07T08:01:04Z,65,UNIT-0065,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2264.66,51.96,27.33,37.75,10.33,136,421.38,64.95,0,normal
2026-09-07T08:01:05Z,66,UNIT-0066,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1778.66,42.74,25.49,35.02,10.04,147,372.24,62.05,0,normal
2026-09-07T08:01:06Z,67,UNIT-0067,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2274.67,46.68,24.83,35.58,9.74,161,447.01,62.92,0,normal
2026-09-07T08:01:07Z,68,UNIT-0068,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,2304.72,40.39,27.07,36.75,10.12,143,497.38,63.61,0,normal
2026-09-07T08:01:08Z,69,UNIT-0069,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1664.92,49.34,27.15,37.31,10.01,149,332.41,60.87,0,normal
2026-09-07T08:01:09Z,70,UNIT-0070,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1834.62,40.87,26.03,36.99,10.32,136,373.93,62.74,0,normal
2026-09-07T08:01:10Z,71,UNIT-0071,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1774.95,48.6,26.53,37.7,10.08,189,365.46,62.29,0,normal
2026-09-07T08:01:11Z,72,UNIT-0072,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1775.11,37.53,27.74,36.52,9.52,56,363.27,62.47,0,normal
2026-09-07T08:01:12Z,73,UNIT-0073,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1649.2,49.76,27.21,36.75,10.07,101,341.28,63.26,0,normal
2026-09-07T08:01:13Z,74,UNIT-0074,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1499.71,47.37,25.32,35.2,9.65,182,298.34,60.56,0,normal
2026-09-07T08:01:14Z,75,UNIT-0075,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1826.7,38.6,25.82,37.04,10.35,66,334.42,60.41,0,normal
2026-09-07T08:01:15Z,76,UNIT-0076,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1627.43,43.2,26.34,37.48,10.85,139,350.81,62.21,0,normal
2026-09-07T08:01:16Z,77,UNIT-0077,M,SENSOR_TELEMETRY_BUS,Standard Vehicle Telemetry Bus,All Systems Nominal,1640.69,42.78,25.61,35.71,11.0,143,324.67,61.34,0,normal
